AGE (MOS),N,MEAN,S.D.,MIN,5TH,50TH,95TH,MAX
0-2,30,16.9,1.9,12.8,13.0,16.6,19.6,21.4
3-5,44,20.7,2.8,16.3,16.7,20.1,26.2,27.5
6-8,29,21.2,2.1,18.4,18.4,20.5,23.9,29.0
9-11,27,23.2,2.0,19.2,20.0,22.8,27.5,28.0
12-15,30,23.4,2.1,19.3,19.3,22.7,26.9,27.2
16-19,29,24.4,2.0,21.0,21.0,24.2,27.9,29.0
20-23,31,24.7,2.5,18.1,19.0,24.6,27.6,29.9
