AGE (MOS),N,MEAN,S.D.,MIN,5TH,50TH,95TH,MAX
0-2,31,3.7,0.3,3.2,3.2,3.6,4.2,4.4
3-5,44,4.1,0.3,3.3,3.5,4.0,4.4,4.6
6-8,30,4.2,0.2,3.8,3.8,4.1,4.5,4.7
9-11,27,4.5,0.2,4.0,4.0,4.4,4.8,4.9
12-15,30,4.6,0.3,4.0,4.0,4.5,5.0,5.1
16-19,29,4.6,0.3,4.1,4.1,4.5,5.1,5.3
20-23,31,4.7,0.3,4.1,4.2,4.6,5.2,5.6
