AGE (MOS),N,MEAN,S.D.,MIN,5TH,50TH,95TH,MAX
0-2,30,6.8,0.6,5.4,5.4,6.6,7.6,7.8
3-5,44,7.4,0.6,6.0,6.1,7.4,8.3,8.5
6-8,30,8.0,0.5,6.9,7.0,8.1,8.6,9.0
9-11,27,8.9,0.6,7.6,7.6,8.9,9.7,10.2
12-15,31,9.2,0.6,7.6,8.0,9.1,10.1,10.8
16-19,29,9.3,0.6,8.0,8.0,9.4,10.0,10.3
20-23,31,9.5,0.6,8.6,8.6,9.4,10.5,10.8
