AGE (MOS),N,MEAN,S.D.,MIN,5TH,50TH,95TH,MAX
0-2,31,4.2,0.4,3.2,3.4,4.0,4.8,5.2
3-5,44,4.6,0.5,3.5,3.7,4.5,5.3,5.8
6-8,30,4.9,0.4,4.1,4.2,4.9,5.4,5.6
9-11,27,5.1,0.5,4.3,4.3,5.0,5.8,6.0
12-15,31,5.3,0.6,4.3,4.4,5.2,6.1,6.4
16-19,27,5.5,0.5,4.4,4.5,5.3,6.1,6.5
20-23,31,5.5,0.5,4.5,4.6,5.4,6.1,6.4
