AGE (MOS),N,MEAN,S.D.,MIN,5TH,50TH,95TH,MAX
0-2,31,10.9,0.9,9.3,9.3,10.9,12.4,12.7
3-5,44,12.3,1.0,9.8,10.7,12.2,13.8,14.3
6-8,31,13.1,1.2,10.7,10.8,13.2,14.7,14.9
9-11,27,14.5,1.0,11.8,12.3,14.3,15.6,17.7
12-15,32,14.9,1.0,12.6,12.9,15.0,16.2,17.6
16-19,29,15.4,0.8,13.6,13.8,15.2,16.6,17.3
20-23,31,16.2,1.0,13.9,14.2,16.1,17.4,18.6
