AGE (MOS),N,MEAN,S.D.,MIN,5TH,50TH,95TH,MAX
0-2,30,38.5,1.9,35.3,35.4,38.8,41.2,42.2
3-5,44,41.7,1.4,38.9,39.6,41.8,44.0,44.7
6-8,28,43.9,1.3,42.1,42.1,43.7,45.8,46.8
9-11,27,45.5,1.4,43.1,43.1,45.5,47.5,48.4
12-15,29,46.6,1.4,43.8,44.1,46.6,48.5,50.0
16-19,27,46.8,1.8,43.1,43.4,46.1,49.8,50.0
20-23,31,47.8,1.9,44.6,44.6,47.7,50.8,51.2
