AGE (MOS),N,MEAN,S.D.,MIN,5TH,50TH,95TH,MAX
0-2,31,11.8,1.5,9.6,9.7,11.6,13.3,17.6
3-5,44,13.0,1.2,10.3,10.7,13.0,14.6,15.7
6-8,30,14.0,1.0,12.1,12.1,14.0,15.7,16.6
9-11,27,14.8,1.0,12.8,12.9,14.6,16.1,17.9
12-15,32,14.5,1.1,12.3,12.7,14.6,16.4,16.6
16-19,29,14.7,1.3,12.7,12.7,14.3,16.6,17.8
20-23,31,15.0,1.0,12.2,12.9,15.0,16.3,16.8
